movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,805494人评价
这个杀手不太冷,2,9.4,773471人评价
霸王别姬,3,9.5,570223人评价
阿甘正传,4,9.4,664909人评价
美丽人生,5,9.5,384479人评价
千与千寻,6,9.2,616876人评价
辛德勒的名单,7,9.4,356397人评价
泰坦尼克号,8,9.2,611692人评价
盗梦空间,9,9.2,720027人评价
机器人总动员,10,9.3,472972人评价
海上钢琴师,11,9.2,566931人评价
三傻大闹宝莱坞,12,9.1,624744人评价
忠犬八公的故事,13,9.2,418747人评价
放牛班的春天,14,9.2,423551人评价
大话西游之大圣娶亲,15,9.1,433020人评价
教父,16,9.2,323269人评价
龙猫,17,9.1,393287人评价
乱世佳人,18,9.2,255647人评价
楚门的世界,19,9.0,417171人评价
天堂电影院,20,9.1,292948人评价
当幸福来敲门,21,8.9,508049人评价
触不可及,22,9.1,342911人评价
搏击俱乐部,23,9.0,385308人评价
十二怒汉,24,9.3,159133人评价
指环王3：王者无敌,25,9.1,270151人评价
无间道,26,9.0,370643人评价
熔炉,27,9.2,221502人评价
怦然心动,28,8.9,504229人评价
罗马假日,29,8.9,363735人评价
天空之城,30,9.0,311637人评价
少年派的奇幻漂流,31,9.0,549557人评价
大话西游之月光宝盒,32,8.9,368744人评价
鬼子来了,33,9.1,210859人评价
两杆大烟枪,34,9.0,258754人评价
蝙蝠侠：黑暗骑士,35,9.0,295181人评价
飞屋环游记,36,8.9,472694人评价
星际穿越,37,9.1,448284人评价
飞越疯人院,38,9.0,262338人评价
窃听风暴,39,9.1,206436人评价
活着,40,9.0,243260人评价
海豚湾,41,9.3,173639人评价
闻香识女人,42,8.9,300359人评价
V字仇杀队,43,8.8,385711人评价
美丽心灵,44,8.9,286652人评价
教父2,45,9.1,174427人评价
指环王2：双塔奇兵,46,8.9,255425人评价
指环王1：魔戒再现,47,8.9,284887人评价
哈尔的移动城堡,48,8.8,322436人评价
天使爱美丽,49,8.7,456003人评价
情书,50,8.8,347902人评价
死亡诗社,51,8.9,256080人评价
美国往事,52,9.1,162510人评价
七宗罪,53,8.7,410445人评价
钢琴家,54,9.0,189881人评价
狮子王,55,8.9,263362人评价
勇敢的心,56,8.8,280364人评价
致命魔术,57,8.8,316079人评价
被嫌弃的松子的一生,58,8.9,253943人评价
辩护人,59,9.1,179547人评价
剪刀手爱德华,60,8.7,454251人评价
小鞋子,61,9.2,124882人评价
音乐之声,62,8.9,217410人评价
饮食男女,63,9.0,171665人评价
控方证人,64,9.6,69185人评价
低俗小说,65,8.7,307544人评价
入殓师,66,8.8,301091人评价
本杰明·巴顿奇事,67,8.7,368541人评价
沉默的羔羊,68,8.7,326031人评价
蝴蝶效应,69,8.7,356297人评价
黑客帝国,70,8.8,258842人评价
拯救大兵瑞恩,71,8.8,217379人评价
玛丽和马克思,72,8.9,221617人评价
西西里的美丽传说,73,8.7,315617人评价
素媛,74,9.1,154460人评价
心灵捕手,75,8.7,247543人评价
幽灵公主,76,8.8,217406人评价
第六感,77,8.8,215345人评价
阳光灿烂的日子,78,8.7,249870人评价
让子弹飞,79,8.7,584468人评价
大鱼,80,8.7,232494人评价
春光乍泄,81,8.7,220202人评价
射雕英雄传之东成西就,82,8.7,254138人评价
大闹天宫,83,9.2,88293人评价
阳光姐妹淘,84,8.8,247795人评价
重庆森林,85,8.6,297221人评价
上帝之城,86,8.9,147671人评价
禁闭岛,87,8.6,328042人评价
甜蜜蜜,88,8.7,214686人评价
致命ID,89,8.6,289143人评价
告白,90,8.6,312907人评价
一一,91,8.9,140684人评价
加勒比海盗,92,8.6,307347人评价
爱在黎明破晓前,93,8.7,199786人评价
阿凡达,94,8.6,494007人评价
风之谷,95,8.8,162385人评价
萤火虫之墓,96,8.7,188742人评价
布达佩斯大饭店,97,8.7,277416人评价
狩猎,98,9.0,108673人评价
断背山,99,8.6,294329人评价
